Tono,Primaria,Secundaria,Tónica,Cadencia,Cadencia cond,Enlaces,Evitar
C,Gb,B,C(maj7),"D, Bm(7)","D7, Gmaj7","Em(7), Am(7)",Gb(dim/m7b5)
Db,G,C,Db(maj7),"Eb, Cm(7)","Eb7, Abmaj7","Fm(7), Bbm(7)",G(dim/m7b5)
D ,Ab,Db,D (maj7),"E, Dbm(7)","E7, Amaj7","Gbm(7), Bm(7)",Ab(dim/m7b5)
Eb,A,D ,Eb(maj7),"F, Dm(7)","F7, Bbmaj7","Gm(7), Cm(7)",A(dim/m7b5)
E,Bb,Eb,E(7),"Gb, Ebm(7)","Gb7, Bmaj7","Abm(7), Dbm(7)",Bb(dim/m7b5)
F,B,E,F(maj7),"G, Em(7)","G7, Cmaj7","Am(7), Dm(7)",B(dim/m7b5)
Gb,C,F,Gb(maj7),"Ab, Fm(7)","Ab7, Dbmaj7","Bbm(7), Ebm(7)",C(dim/m7b5)
G,Db,Gb,G(maj7),"A, Gbm(7)","A7, Dmaj7","Bm(7), Em(7)",Db(dim/m7b5)
Ab,D ,G,Ab(maj7),"Bb, Gm(7)","Bb7, Ebmaj7","Cm(7), Fm(7)",D(dim/m7b5)
A,Eb,Ab,A(maj7),"B, Abm(7)","B7, Emaj7","Dbm(7), Gbm(7)",Eb(dim/m7b5)
Bb,E,A,Bb(maj7),"C, Am(7)","C7, Fmaj7","Dm(7), Gm(7)",E(dim/m7b5)
B,F,Bb,B(maj7),"Db, Bbm(7)","Db7, Gbmaj7","Ebm(7), Abm(7)",F(dim/m7b5)
C,Gb,B,C(maj7),"D, Bm(7)","D7, Gmaj7","Em(7), Am(7)",Gb(dim/m7b5)
